Dealership,Car_Name,Name_Of_Employee,Email,Mobile_no,Age_Months,Emission_Rating,Mileage,PartA,PartB,PartC,PartD,PartE,PartF,PartG,PartH,User_Feedback,Total
"Honda ABC motors, Gurugram",Honda Amaze,Sarthak Chopra,sarthak22@gmail.com,9968453265,6,4.5,16.2,800,810,790,780,820,815,813,790,4,6418
"Honda KLF motors, Faridabad",Honda Amaze,Sarthak Chopra,sarthak22@gmail.com,9968453265,12,4.4,16.1,805,820,816,790,815,890,844,809,5,6589
"Honda Plaza motors, Mumbai",Honda Amaze,Sarthak Chopra,sarthak22@gmail.com,9968453265,18,4.4,16.0,810,840,790,810,860,850,826,844,3,6630
"Honda ABC motors, Gurugram",Honda Amaze,Sarthak Chopra,sarthak22@gmail.com,9968453265,24,4.3,16.0,795,860,831,846,889,900,810,864,4,6795
"Honda Plaza motors, Mumbai",Honda Amaze,Sarthak Chopra,sarthak22@gmail.com,9968453265,30,4.2,15.8,840,845,860,870,880,874,825,895,4,6889
"Honda KLF motors, Faridabad",Honda Amaze,Sarthak Chopra,sarthak22@gmail.com,9968453265,36,4.1,15.7,845,825,899,880,860,910,800,880,4,6899
"Honda Avenue motors, New Delhi",Honda Amaze,Sarthak Chopra,sarthak22@gmail.com,9968453265,42,4.1,15.6,860,865,910,890,880,910,890,900,3,7105
"Honda ABC motors, Gurugram",Honda Amaze,Sarthak Chopra,sarthak22@gmail.com,9968453265,48,4.0,15.5,880,875,890,900,900,920,910,910,3,7185
"Honda KLF motors, Faridabad",Honda Amaze,Sarthak Chopra,sarthak22@gmail.com,9968453265,54,3.8,15.4,900,880,900,910,880,900,910,950,4,7230
"Honda Plaza motors, Mumbai",Honda Amaze,Sarthak Chopra,sarthak22@gmail.com,9968453265,60,3.7,15.2,940,912,906,940,990,950,890,940,3,7468
