Dealership,Car_Name,Name_Of_Employee,Email,Mobile_no,Age_Months,Emission_Rating,Mileage,PartA,PartB,PartC,PartD,PartE,PartF,PartG,PartH,User_Feedback,Total
"Hyundai ABC motors, Gurugram",Hyundai Grand i10,Manvika Chopra,manvika02@gmail.com,9854654785,6,4.5,16.9,740,720,790,480,1005,710,825,54,4,5324
"Hyundai KLF motors, Faridabad",Hyundai Grand i10,Manvika Chopra,manvika02@gmail.com,9854654785,12,4.4,16.8,790,980,640,815,945,645,920,200,4,5935
"Hyundai Avenue motors, New Delhi",Hyundai Grand i10,Manvika Chopra,manvika02@gmail.com,9854654785,18,4.3,16.7,800,840,780,900,805,840,825,190,5,5980
"Hyundai Plaza motors, Mumbai",Hyundai Grand i10,Manvika Chopra,manvika02@gmail.com,9854654785,24,4.2,16.6,840,795,860,880,825,860,855,210,5,6125
"Hyundai ABC motors, Gurugram",Hyundai Grand i10,Manvika Chopra,manvika02@gmail.com,9854654785,30,4.1,16.5,700,940,880,910,850,840,834,220,5,6174
"Hyundai KLF motors, Faridabad",Hyundai Grand i10,Manvika Chopra,manvika02@gmail.com,9854654785,36,4.0,16.4,710,920,920,940,450,1240,800,350,5,6330
"Hyundai Avenue motors, New Delhi",Hyundai Grand i10,Manvika Chopra,manvika02@gmail.com,9854654785,42,3.9,16.3,905,910,890,905,880,1100,660,400,3,6650
"Hyundai Plaza motors, Mumbai",Hyundai Grand i10,Manvika Chopra,manvika02@gmail.com,9854654785,48,3.8,16.2,950,940,554,790,1240,1105,700,350,3,6629
"Hyundai ABC motors, Gurugram",Hyundai Grand i10,Manvika Chopra,manvika02@gmail.com,9854654785,54,3.7,16.1,840,1050,600,650,1150,1350,750,320,3,6710
"Hyundai KLF motors, Faridabad",Hyundai Grand i10,Manvika Chopra,manvika02@gmail.com,9854654785,60,3.6,16.0,860,1020,660,700,1250,1160,800,400,3,6850
