Dealership,Car_Name,Name_Of_Employee,Email,Mobile_no,Age_Months,Emission_Rating,Mileage,PartA,PartB,PartC,PartD,PartE,PartF,PartG,PartH,Total
"Kia ABC motors, Gurugram",Kia Carnival,employee_1,xyz@gmail.com,12344556,6,5.0,15.0,1000,900,800,1500,900,1200,800,900,8000
"Kia KLF motors, Faridabad",Kia Carnival,employee_2,zxc@cmail.com,57876523,12,4.8,14.5,100,1100,1100,1400,1100,1100,1500,500,7900
"Kia Avenue motors, New Delhi",Kia Carnival,employee_3,asd@dmail.com,77898987,18,4.6,14.3,1000,700,1400,1000,980,1100,1000,1000,8180
"Kia Plaza motors, Mumbai",Kia Carnival,employee_4,qwe@gmail.com,54546545,24,4.3,14.2,1000,1600,1000,1500,1300,900,700,600,8600
"Kia Plaza motors, Mumbai",Kia Carnival,employee_5,ert@dmail.com,13232132,30,4.1,14.0,1350,1500,1000,1050,1200,980,500,1120,8700
"Kia ABC motors, Gurugram",Kia Carnival,employee_6,dfg@gmail.com,51155151,36,4.0,13.8,1200,1300,1200,1300,1500,1200,1300,300,9300
"Kia KLF motors, Faridabad",Kia Carnival,employee_7,rty@gmail.com,14145114,42,4.0,13.5,1800,200,900,1200,850,1600,1200,1300,9050
"Kia Avenue motors, New Delhi",Kia Carnival,employee_8,tyu@hotmail.com,12020210,48,3.9,13.2,1000,1500,1400,1000,1100,1200,1250,2000,10450
"Kia Plaza motors, Mumbai",Kia Carnival,employee_9,ghj@hotmail.com,32132132,54,3.6,13.0,1100,1700,1300,1500,800,1000,1000,1800,10200
"Kia Plaza motors, Mumbai",Kia Carnival,employee_10,vbnm@hotmail.com,65465465,60,3.5,12.8,1800,1700,1500,1300,1300,1000,1000,1100,10700
