Dealership,Car_Name,Name_Of_Employee,Email,Mobile_no,Age_Months,Emission_Rating,Mileage,PartA,PartB,PartC,PartD,PartE,PartF,PartG,PartH,User_Feedback,Total
"Suzuki ABC motors, Gurugram",Suzuki Baleno,employee_1,xyz@gmail.com,12344556,6,5.0,16.8,1000,1000,900,1200,1100,900,1600,500,5,8200
"Suzuki KLF motors, Faridabad",Suzuki Baleno,employee_2,zxc@cmail.com,57876523,12,4.75,16.5,1100,1100,1000,1300,800,1100,900,1200,5,8500
"Suzuki Avenue motors, New Delhi",Suzuki Baleno,employee_3,asd@dmail.com,77898987,18,4.5,16.2,1100,1300,1800,100,1500,1200,1000,1500,5,9500
"Suzuki Plaza motors, Mumbai",Suzuki Baleno,employee_4,qwe@gmail.com,54546545,24,4.2,16.1,1000,1500,1700,1000,1200,1000,1000,1500,5,9900
"Suzuki Plaza motors, Mumbai",Suzuki Baleno,employee_5,ert@dmail.com,13232132,30,4.0,16.0,1000,1600,2000,1800,1500,1100,1750,1000,5,11750
"Suzuki ABC motors, Gurugram",Suzuki Baleno,employee_6,dfg@gmail.com,51155151,36,3.8,15.9,2000,1500,1600,1100,2000,800,1000,1700,5,11700
"Suzuki KLF motors, Faridabad",Suzuki Baleno,employee_7,rty@gmail.com,14145114,42,3.5,15.6,1600,1000,1000,1300,1000,2000,1600,1750,5,11250
"Suzuki Avenue motors, New Delhi",Suzuki Baleno,employee_8,tyu@hotmail.com,12020210,48,3.4,15.45,1600,800,1100,800,1400,800,1100,2000,4,9600
"Suzuki Plaza motors, Mumbai",Suzuki Baleno,employee_9,ghj@hotmail.com,32132132,54,3.1,15.3,1650,1500,1100,1600,900,700,1000,1200,4,9650
"Suzuki Plaza motors, Mumbai",Suzuki Baleno,employee_10,vbnm@hotmail.com,65465465,60,3.0,15.1,1400,1500,1300,1900,500,1350,1400,1400,4,10750
