Dealership,Car_Name,Name_Of_Employee,Email,Mobile_no,Age_Months,Emission_Rating,Mileage,PartA,PartB,PartC,PartD,PartE,PartF,PartG,PartH,Total
"Suzuki ABC motors, Gurugram",Suzuki Ciaz,Shivani Sharma,shivani20@gmail.com,9877456852,6,4.4,15.9,750,800,650,840,860,840,640,720,6100
"Suzuki KLF motors, Faridabad",Suzuki Ciaz,Shivani Sharma,shivani20@gmail.com,9877456852,12,4.3,15.8,770,790,770,820,840,648,800,890,6328
"Suzuki Avenue motors, New Delhi",Suzuki Ciaz,Shivani Sharma,shivani20@gmail.com,9877456852,18,4.2,15.7,800,1100,450,1005,905,798,805,850,6713
"Suzuki Plaza motors, Mumbai",Suzuki Ciaz,Shivani Sharma,shivani20@gmail.com,9877456852,24,4.1,15.6,840,1005,550,950,960,840,854,840,6839
"Suzuki ABC motors, Gurugram",Suzuki Ciaz,Shivani Sharma,shivani20@gmail.com,9877456852,30,4.0,15.6,1105,970,950,976,980,970,960,795,7706
"Suzuki Plaza motors, Mumbai",Suzuki Ciaz,Shivani Sharma,shivani20@gmail.com,9877456852,36,3.9,15.5,1008,980,750,560,1200,1040,1030,885,7453
"Suzuki Avenue motors, New Delhi",Suzuki Ciaz,Shivani Sharma,shivani20@gmail.com,9877456852,42,3.9,15.4,1060,768,1250,760,1060,800,1040,1240,7978
"Suzuki ABC motors, Gurugram",Suzuki Ciaz,Shivani Sharma,shivani20@gmail.com,9877456852,48,3.8,15.3,1005,950,1060,980,960,546,1200,1450,8151
"Suzuki KLF motors, Faridabad",Suzuki Ciaz,Shivani Sharma,shivani20@gmail.com,9877456852,54,3.7,15.0,1100,1250,980,1046,1076,1106,1068,1364,8990
"Suzuki Plaza motors, Mumbai",Suzuki Ciaz,Shivani Sharma,shivani20@gmail.com,9877456852,60,3.6,14.9,1060,1400,760,1500,1604,1200,740,1005,9269
