Dealership,Car_Name,Name_Of_Employee,Email,Mobile_no,Age_Months,Emission_Rating,Mileage,PartA,PartB,PartC,PartD,PartE,PartF,PartG,PartH,User_Feedback,Total
"Suzuki KLF motors, Faridabad",Suzuki Dzire,Simran Kaur,kaur2200@gmail.com,7455982540,6,4.6,16.2,740,760,660,800,780,790,620,850,4,6000
"Suzuki Avenue motors, New Delhi",Suzuki Dzire,Simran Kaur,kaur2200@gmail.com,7455982540,12,4.5,16.1,760,784,900,710,730,800,700,860,4,6244
"Suzuki Plaza motors, Mumbai",Suzuki Dzire,Simran Kaur,kaur2200@gmail.com,7455982540,18,4.4,16.0,720,840,860,820,750,860,770,900,4,6520
"Suzuki KLF motors, Faridabad",Suzuki Dzire,Simran Kaur,kaur2200@gmail.com,7455982540,24,4.3,15.9,780,820,880,840,850,890,810,950,4,6820
"Suzuki ABC motors, Gurugram",Suzuki Dzire,Simran Kaur,kaur2200@gmail.com,7455982540,30,4.2,15.8,860,560,956,980,780,822,950,1005,5,6913
"Suzuki Avenue motors, New Delhi",Suzuki Dzire,Simran Kaur,kaur2200@gmail.com,7455982540,36,4.1,15.7,900,960,940,920,900,880,1060,1060,5,7620
"Suzuki Plaza motors, Mumbai",Suzuki Dzire,Simran Kaur,kaur2200@gmail.com,7455982540,42,4.0,15.6,645,450,1220,1350,950,987,1046,1100,3,7748
"Suzuki ABC motors, Gurugram",Suzuki Dzire,Simran Kaur,kaur2200@gmail.com,7455982540,48,3.9,15.4,931,876,1354,1400,1040,1060,1140,1160,3,8961
"Suzuki Avenue motors, New Delhi",Suzuki Dzire,Simran Kaur,kaur2200@gmail.com,7455982540,54,3.8,15.2,1045,980,1400,900,1145,1162,1187,1264,3,9083
"Suzuki KLF motors, Faridabad",Suzuki Dzire,Simran Kaur,kaur2200@gmail.com,7455982540,60,3.8,15.0,1134,1175,1320,1136,1240,1260,1270,1280,3,9815
