Dealership,Car_Name,Name_Of_Employee,Email,Mobile_no,Age_Months,Emission_Rating,Mileage,PartA,PartB,PartC,PartD,PartE,PartF,PartG,PartH,User_Feedback,Total
"ata ABC motors, Gurugram",Tata Altroz,Mansi Singh,mansi2@gmail.com,9785465844,6,4.5,17.1,600,650,700,750,800,850,800,900,4,6050
"Tata KLF motors, Faridabad",Tata Altroz,Mansi Singh,mansi2@gmail.com,9785465844,12,4.4,17.0,640,690,740,650,950,900,720,980,4,6270
"Tata Plaza motors, Mumbai",Tata Altroz,Mansi Singh,mansi2@gmail.com,9785465844,18,4.3,16.9,700,730,705,710,840,1040,760,990,3,6475
"Tata Avenue motors, New Delhi",Tata Altroz,Mansi Singh,mansi2@gmail.com,9785465844,24,4.2,16.8,450,940,750,740,880,1005,840,1030,3,6635
"ata ABC motors, Gurugram",Tata Altroz,Mansi Singh,mansi2@gmail.com,9785465844,30,4.1,16.7,950,780,860,800,920,990,860,1050,3,7210
"Tata Plaza motors, Mumbai",Tata Altroz,Mansi Singh,mansi2@gmail.com,9785465844,36,4.0,16.6,990,820,900,755,964,1025,890,1024,3,7368
"Tata Avenue motors, New Delhi",Tata Altroz,Mansi Singh,mansi2@gmail.com,9785465844,42,3.9,16.5,890,840,860,1200,1040,1060,940,1040,4,7870
"ata ABC motors, Gurugram",Tata Altroz,Mansi Singh,mansi2@gmail.com,9785465844,48,3.8,16.4,940,560,925,1150,670,1400,955,1055,3,7655
"Tata KLF motors, Faridabad",Tata Altroz,Mansi Singh,mansi2@gmail.com,9785465844,54,3.7,16.3,945,1100,1050,1060,980,1250,1350,1140,4,8875
"ata ABC motors, Gurugram",Tata Altroz,Mansi Singh,mansi2@gmail.com,9785465844,60,3.6,16.1,780,950,1255,1260,1060,1280,1260,1346,4,9191
