Dealership,Car_Name,Name_Of_Employee,Email,Mobile_no,Age_Months,Emission_Rating,Mileage,PartA,PartB,PartC,PartD,PartE,PartF,PartG,PartH,User_Feedback,Total
"Tata ABC motors, Gurugram",Tata Harrier,employee_1,xyz@gmail.com,12344556,6,3.5,13.5,930,1000,500,2000,1500,900,500,100,4,7430
"Tata KLF motors, Faridabad",Tata Harrier,employee_2,zxc@cmail.com,57876523,12,3.1,13.2,1000,1200,300,1500,1000,500,100,2000,4,7600
"Tata Avenue motors, New Delhi",Tata Harrier,employee_3,asd@dmail.com,77898987,18,3.1,13.0,1100,1100,500,1200,900,200,600,2000,4,7600
"Tata Plaza motors, Mumbai",Tata Harrier,employee_4,qwe@gmail.com,54546545,24,3.0,12.8,1500,1300,800,1400,1000,500,1500,1000,4,9000
"Tata Plaza motors, Mumbai",Tata Harrier,employee_5,ert@dmail.com,13232132,30,2.9,12.3,1300,1500,750,1800,1500,700,2000,1400,4,10950
"Tata ABC motors, Gurugram",Tata Harrier,employee_6,dfg@gmail.com,51155151,36,2.81,12.0,1200,1500,1000,1500,2000,800,800,1400,3,10200
"Tata KLF motors, Faridabad",Tata Harrier,employee_7,rty@gmail.com,14145114,42,2.54,11.8,1600,1200,1400,1900,1500,500,1000,1500,3,10600
"Tata Avenue motors, New Delhi",Tata Harrier,employee_8,tyu@hotmail.com,12020210,48,2.12,11.5,2000,1500,1200,2100,1800,1000,700,2200,3,12500
"Tata Plaza motors, Mumbai",Tata Harrier,employee_9,ghj@hotmail.com,32132132,54,2.0,11.2,1200,1250,1350,1255,1274,600,1000,1390,3,9319
"Tata Plaza motors, Mumbai",Tata Harrier,employee_10,vbnm@hotmail.com,65465465,60,2.0,11.0,1375,1200,1345,1389,1244,1200,1377,1365,3,10495
