Dealership,Car_Name,Name_Of_Employee,Email,Mobile_no,Age_Months,Emission_Rating,Mileage,PartA,PartB,PartC,PartD,PartE,PartF,PartG,PartH,User_Feedback,Total
"Tata ABC motors, Gurugram",Tata Tiago,Sachin Arora,sachin07@gmail.com,9874685544,6,4.4,17.2,500,550,600,640,800,820,750,804,3,5464
"Tata KLF motors, Faridabad",Tata Tiago,Sachin Arora,sachin07@gmail.com,9874685544,12,4.3,17.1,640,580,641,680,460,900,860,820,4,5581
"Tata Avenue motors, New Delhi",Tata Tiago,Sachin Arora,sachin07@gmail.com,9874685544,18,4.2,17.0,700,640,620,855,860,825,840,980,4,6320
"Tata ABC motors, Gurugram",Tata Tiago,Sachin Arora,sachin07@gmail.com,9874685544,24,4.2,16.9,860,804,790,860,880,890,910,964,4,6958
"Tata Plaza motors, Mumbai",Tata Tiago,Sachin Arora,sachin07@gmail.com,9874685544,30,4.1,16.8,890,840,880,660,1105,941,945,975,4,7236
"Tata Avenue motors, New Delhi",Tata Tiago,Sachin Arora,sachin07@gmail.com,9874685544,36,4.0,16.7,900,905,994,800,940,1050,980,995,4,7564
"Tata KLF motors, Faridabad",Tata Tiago,Sachin Arora,sachin07@gmail.com,9874685544,42,3.9,16.6,950,780,1250,640,1210,990,1080,1040,4,7940
"ata ABC motors, Gurugram",Tata Tiago,Sachin Arora,sachin07@gmail.com,9874685544,48,3.8,16.4,980,850,1240,845,1084,1060,1090,1050,4,8199
"Tata Plaza motors, Mumbai",Tata Tiago,Sachin Arora,sachin07@gmail.com,9874685544,54,3.5,16.3,1060,980,1040,1050,1360,1400,940,990,4,8820
"Tata KLF motors, Faridabad",Tata Tiago,Sachin Arora,sachin07@gmail.com,9874685544,60,3.4,16.2,940,1240,1140,946,1250,1440,1460,1080,4,9496
