Dealership,Car_Name,Name_Of_Employee,Email,Mobile_no,Age_Months,Emission_Rating,Mileage,PartA,PartB,PartC,PartD,PartE,PartF,PartG,PartH,User_Feedback,Total
"Toyota ABC motors, Gurugram",Toyota Fortuner,employee_1,xyz@gmail.com,12344556,6,3.5,13.6,930,1000,500,2000,1500,900,500,100,4,7430
"Toyota KLF motors, Faridabad",Toyota Fortuner,employee_2,zxc@cmail.com,57876523,12,3.1,13.0,1000,1200,300,1500,1000,500,100,2000,4,7600
"Toyota Avenue motors, New Delhi",Toyota Fortuner,employee_3,asd@dmail.com,77898987,18,3.1,12.9,1100,1100,500,1200,900,200,600,2000,4,7600
"Toyota Plaza motors, Mumbai",Toyota Fortuner,employee_4,qwe@gmail.com,54546545,24,3.0,12.8,1500,1300,800,1400,1000,500,1500,1000,4,9000
"Toyota Plaza motors, Mumbai",Toyota Fortuner,employee_5,ert@dmail.com,13232132,30,2.9,12.4,1300,1500,750,1800,1500,700,2000,1400,5,10950
"Toyota ABC motors, Gurugram",Toyota Fortuner,employee_6,dfg@gmail.com,51155151,36,2.81,12.4,1200,1500,1000,1500,2000,800,800,1400,4,10200
"Toyota KLF motors, Faridabad",Toyota Fortuner,employee_7,rty@gmail.com,14145114,42,2.54,12.2,1600,1200,1400,1900,1500,500,1000,1500,4,10600
"Toyota Avenue motors, New Delhi",Toyota Fortuner,employee_8,tyu@hotmail.com,12020210,48,2.12,12.2,20000,1500,1200,2100,1800,1000,700,2200,4,30500
"Toyota Plaza motors, Mumbai",Toyota Fortuner,employee_9,ghj@hotmail.com,32132132,54,2.0,12.1,1800,2000,1200,1700,2000,600,1000,2200,4,12500
"Toyota Plaza motors, Mumbai",Toyota Fortuner,employee_10,vbnm@hotmail.com,65465465,60,2.0,12.0,2000,1800,1500,1900,200,1000,700,2500,4,11600
